Regio's,Perioden,Beginstand voorraad,Nieuwbouw,Eindstand voorraad
Bunnik,2016,6269,74,6342
Bunnik,2020,6392,83,6484
Bunnik,2024,6787,80,6867
Bunschoten,2012,7603,101,7719
Bunschoten,2016,8087,69,8135
Bunschoten,2020,8536,107,8550
Bunschoten,2024,8946,32,8985
Buren,2012,10018,44,10041
Buren,2016,10386,93,10459
Buren,2020,10829,103,10933
Buren,2024,11200,55,11258
Bussum,2012,14902,7,15124
Bussum,2016,,,
Bussum,2020,,,
Bussum,2024,,,
Capelle aan den IJssel,2012,30308,57,30440
Capelle aan den IJssel,2016,30727,7,30745
Capelle aan den IJssel,2020,31270,169,31556
Capelle aan den IJssel,2024,31596,281,31893
Castricum,2012,14939,106,15128
Castricum,2016,15459,219,15666
Castricum,2020,16056,161,16231
Castricum,2024,16558,113,16672
Coevorden,2012,16846,68,15237
Coevorden,2016,15342,28,15283
Coevorden,2020,15555,18,15580
Coevorden,2024,15966,77,15919
Cranendonck,2012,8567,60,8630
Cranendonck,2016,8781,53,8841
Cranendonck,2020,9007,37,9044
Cranendonck,2024,9255,39,9272
Cromstrijen,2012,5560,12,5506
Cromstrijen,2016,5622,4,5625
Cromstrijen,2020,,,
Cromstrijen,2024,,,
Cuijk,2012,10326,153,10497
Cuijk,2016,10787,39,10727
Cuijk,2020,11193,131,11335
Cuijk,2024,,,
Culemborg,2012,11348,117,11598
Culemborg,2016,11862,147,12024
Culemborg,2020,12530,179,12729
Culemborg,2024,13252,70,13398
Dalfsen,2012,10869,160,11022
Dalfsen,2016,11391,65,11444
Dalfsen,2020,11889,181,12056
Dalfsen,2024,12461,146,12599
Dantumadiel,2012,7858,20,7867
Dantumadiel,2016,8065,6,8084
Dantumadiel,2020,8164,48,8202
Dantumadiel,2024,8271,22,8298
Delft,2012,48035,250,48329
Delft,2016,49627,250,49838
Delft,2020,50904,333,51495
Delft,2024,54219,339,54594
Delfzijl,2012,11982,25,12027
Delfzijl,2016,12273,5,12237
Delfzijl,2020,12223,41,12278
Delfzijl,2024,,,
Deurne,2012,12829,71,12994
Deurne,2016,13433,93,13523
Deurne,2020,13955,76,14052
Deurne,2024,14453,52,14500
Deventer,2012,42269,28,42092
Deventer,2016,43643,455,44653
Deventer,2020,45988,153,46224
Deventer,2024,47516,520,48140
Diemen,2012,11843,72,11891
Diemen,2016,13216,165,12770
Diemen,2020,15015,451,15467
Diemen,2024,15814,300,16115
Dijk en Waard,2012,,,
Dijk en Waard,2016,,,
Dijk en Waard,2020,,,
Dijk en Waard,2024,38007,402,38398
Dinkelland,2012,10105,97,10215
Dinkelland,2016,10528,116,10661
Dinkelland,2020,10939,80,11047
Dinkelland,2024,11268,99,11366
Dirksland,2012,3345,28,3450
Dirksland,2016,,,
Dirksland,2020,,,
Dirksland,2024,,,
Doesburg,2012,5207,2,5168
Doesburg,2016,5238,5,5248
Doesburg,2020,5293,55,5313
Doesburg,2024,5441,22,5456
Doetinchem,2012,24288,226,24523
Doetinchem,2016,25180,286,25477
Doetinchem,2020,26129,353,26509
Doetinchem,2024,27176,199,27376
Dongen,2012,10520,124,10645
Dongen,2016,10792,40,10838
Dongen,2020,11289,161,11456
Dongen,2024,11734,165,11988
Dongeradeel,2012,10558,16,10622
Dongeradeel,2016,10886,78,10983
Dongeradeel,2020,,,
Dongeradeel,2024,,,
Dordrecht,2012,53973,512,54565
Dordrecht,2016,54853,77,54868
Dordrecht,2020,55279,384,55813
Dordrecht,2024,57276,305,57537
Drechterland,2012,7804,40,7876
Drechterland,2016,8107,46,8154
Drechterland,2020,8373,39,8410
Drechterland,2024,8708,32,8738
Drimmelen,2012,11105,77,11156
Drimmelen,2016,11501,102,11601
Drimmelen,2020,11761,57,11845
Drimmelen,2024,12322,39,12370
Dronten,2012,17043,231,17192
Dronten,2016,16495,102,16603
Dronten,2020,17390,345,17730
Dronten,2024,18507,208,18702
Druten,2012,7290,9,7348
Druten,2016,7662,149,7807
Druten,2020,8126,84,8202
Druten,2024,8491,231,8752
Duiven,2012,10390,119,10513
Duiven,2016,10635,9,10645
Duiven,2020,10743,20,10760
Duiven,2024,10874,45,10937
Echt-Susteren,2012,14086,40,14148
Echt-Susteren,2016,14450,58,14497
Echt-Susteren,2020,14595,80,14713
Echt-Susteren,2024,15066,56,15141
Edam-Volendam,2012,11761,147,11876
Edam-Volendam,2016,14939,114,14819
Edam-Volendam,2020,15120,311,15432
Edam-Volendam,2024,15961,75,16009
Ede,2012,46871,677,47600
Ede,2016,48915,653,49703
Ede,2020,49152,822,50056
Ede,2024,52436,435,52756
Eemnes,2012,3438,7,3591
Eemnes,2016,3665,20,3687
Eemnes,2020,4008,79,4091
Eemnes,2024,4304,76,4375
Eemsdelta,2012,,,
Eemsdelta,2016,,,
Eemsdelta,2020,,,
Eemsdelta,2024,23616,608,23649
Eemsmond,2012,7407,11,7349
Eemsmond,2016,7471,4,7410
Eemsmond,2020,,,
Eemsmond,2024,,,
Eersel,2012,7647,39,7725
Eersel,2016,8008,35,8035
Eersel,2020,8402,111,8511
Eersel,2024,8739,154,8888
Eijsden-Margraten,2012,10415,172,10486
Eijsden-Margraten,2016,10888,52,10979
Eijsden-Margraten,2020,11326,37,11367
Eijsden-Margraten,2024,11627,80,11727
Eindhoven,2012,101413,746,101970
Eindhoven,2016,106732,731,107812
Eindhoven,2020,112965,1362,114398
Eindhoven,2024,119376,1557,121191
Elburg,2012,8659,54,8762
Elburg,2016,9170,16,9186
Elburg,2020,9356,226,9595
Elburg,2024,9794,51,9841
Emmen,2012,51220,51,48540
Emmen,2016,49118,103,48789
Emmen,2020,49308,247,49528
Emmen,2024,50563,240,50710
Enkhuizen,2012,8343,1,8399
Enkhuizen,2016,8642,35,8689
Enkhuizen,2020,8824,35,8880
Enkhuizen,2024,8955,19,8989
Enschede,2012,74142,268,74502
Enschede,2016,75056,220,74564
Enschede,2020,75222,500,75925
Enschede,2024,77059,645,77688
Epe,2012,13662,2,13698
Epe,2016,14097,99,14177
Epe,2020,14586,71,14697
Epe,2024,14921,98,15005
Ermelo,2012,10296,0,10301
Ermelo,2016,10785,81,10861
Ermelo,2020,11156,193,11360
Ermelo,2024,11935,109,12149
Etten-Leur,2012,17468,387,18043
Etten-Leur,2016,18408,95,18513
Etten-Leur,2020,19093,90,19154
Etten-Leur,2024,20121,206,20354
Ferwerderadiel,2012,3808,0,3798
Ferwerderadiel,2016,3860,1,3853
Ferwerderadiel,2020,,,
Ferwerderadiel,2024,,,
Franekeradeel,2012,9318,12,9269
Franekeradeel,2016,9501,36,9497
Franekeradeel,2020,,,
Franekeradeel,2024,,,
De Friese Meren,2012,,,
De Friese Meren,2016,,,
De Friese Meren,2020,,,
De Friese Meren,2024,,,
De Fryske Marren,2012,,,
De Fryske Marren,2016,22818,47,22887
De Fryske Marren,2020,23347,141,23460
De Fryske Marren,2024,23723,117,23886
Gaasterlân-Sleat,2012,4791,13,4493
Gaasterlân-Sleat,2016,,,
Gaasterlân-Sleat,2020,,,
Gaasterlân-Sleat,2024,,,
Geertruidenberg,2012,9376,1,9395
Geertruidenberg,2016,9553,32,9594
Geertruidenberg,2020,9639,8,9648
Geertruidenberg,2024,10156,13,10147
Geldermalsen,2012,10371,27,10369
Geldermalsen,2016,10630,184,10808
Geldermalsen,2020,,,
Geldermalsen,2024,,,
Geldrop-Mierlo,2012,17105,57,17157
Geldrop-Mierlo,2016,17305,50,17354
Geldrop-Mierlo,2020,17746,181,18078
Geldrop-Mierlo,2024,18448,97,18586
Gemert-Bakel,2012,11772,90,12042
Gemert-Bakel,2016,12451,155,12597
Gemert-Bakel,2020,12635,100,12649
Gemert-Bakel,2024,13110,153,13239
Gennep,2012,7088,35,7199
Gennep,2016,7277,25,7361
Gennep,2020,7450,38,7490
Gennep,2024,7770,42,7832
Giessenlanden,2012,5737,42,5726
Giessenlanden,2016,5884,28,5910
Giessenlanden,2020,,,
Giessenlanden,2024,,,
Gilze en Rijen,2012,10237,247,10757
Gilze en Rijen,2016,11138,84,11149
Gilze en Rijen,2020,11301,79,11392
Gilze en Rijen,2024,11728,62,11801
Goedereede,2012,4788,128,4868
Goedereede,2016,,,
Goedereede,2020,,,
Goedereede,2024,,,
Goeree-Overflakkee,2012,,,
Goeree-Overflakkee,2016,20915,197,21089
Goeree-Overflakkee,2020,21855,257,22098
Goeree-Overflakkee,2024,22916,77,22997
Goes,2012,17321,183,17410
Goes,2016,17748,196,17939
Goes,2020,18553,238,18633
Goes,2024,19254,211,19353
Goirle,2012,9703,102,9792
Goirle,2016,9906,21,9961
Goirle,2020,10363,64,10423
Goirle,2024,10585,139,10735
Gooise Meren,2012,,,
Gooise Meren,2016,26137,109,26249
Gooise Meren,2020,26679,175,26896
Gooise Meren,2024,27705,239,27944
Gorinchem,2012,15569,3,15622
Gorinchem,2016,16092,240,16300
Gorinchem,2020,17210,129,17288
Gorinchem,2024,17978,196,18237
Gouda,2012,30704,133,31067
Gouda,2016,31868,267,32131
Gouda,2020,33439,258,33725
Gouda,2024,34785,377,35205
Graafstroom,2012,3519,70,3588
Graafstroom,2016,,,
Graafstroom,2020,,,
Graafstroom,2024,,,
Graft-De Rijp,2012,2572,3,2585
Graft-De Rijp,2016,,,
Graft-De Rijp,2020,,,
Graft-De Rijp,2024,,,
Grave,2012,5083,1,5089
Grave,2016,5304,1,5305
Grave,2020,5465,17,5492
Grave,2024,,,
s-Gravenhage (gemeente),2012,241378,984,244882
s-Gravenhage (gemeente),2016,253210,1429,255103
s-Gravenhage (gemeente),2020,262492,2820,265959
s-Gravenhage (gemeente),2024,272242,1802,274171
Groesbeek,2012,7655,302,8160
Groesbeek,2016,,,
Groesbeek,2020,,,
Groesbeek,2024,,,
Groningen (gemeente),2012,93324,149,95291
Groningen (gemeente),2016,99250,899,100828
Groningen (gemeente),2020,116445,2014,118922
Groningen (gemeente),2024,124258,610,125028
Grootegast,2012,4699,74,4825
Grootegast,2016,4946,25,4982
Grootegast,2020,,,
Grootegast,2024,,,
Gulpen-Wittem,2012,6362,108,6636
Gulpen-Wittem,2016,6789,1,6791
Gulpen-Wittem,2020,6867,15,6880
Gulpen-Wittem,2024,6925,0,6936
Haaksbergen,2012,9790,68,9904
Haaksbergen,2016,10162,60,10195
Haaksbergen,2020,10497,69,10571
Haaksbergen,2024,10739,28,10753
Haaren,2012,5121,79,5263
Haaren,2016,5429,98,5525
Haaren,2020,5957,39,6003
Haaren,2024,,,
Haarlem,2012,71173,224,71725
Haarlem,2016,73674,167,74037
Haarlem,2020,76436,590,77201
Haarlem,2024,79434,877,80430
Haarlemmerliede en Spaarnwoude,2012,2200,49,2247
Haarlemmerliede en Spaarnwoude,2016,2281,37,2312
Haarlemmerliede en Spaarnwoude,2020,,,
Haarlemmerliede en Spaarnwoude,2024,,,
Haarlemmermeer,2012,58757,193,58925
Haarlemmermeer,2016,59699,420,60085
Haarlemmermeer,2020,64195,1025,65214
Haarlemmermeer,2024,67121,965,68125
Halderberge,2012,12664,24,13034
Halderberge,2016,13027,30,13060
Halderberge,2020,13399,104,13488
Halderberge,2024,13744,165,13932
Hardenberg,2012,23260,111,23396
Hardenberg,2016,23864,238,24113
Hardenberg,2020,24810,358,25177
Hardenberg,2024,26078,280,26307
Harderwijk,2012,18433,45,18517
Harderwijk,2016,18873,202,19185
Harderwijk,2020,19942,425,20677
Harderwijk,2024,21777,192,22045
Hardinxveld-Giessendam,2012,7012,20,7047
Hardinxveld-Giessendam,2016,7130,98,7211
Hardinxveld-Giessendam,2020,7451,40,7514
Hardinxveld-Giessendam,2024,7623,123,7744
Haren,2012,8497,23,8531
Haren,2016,8612,124,8738
Haren,2020,,,
Haren,2024,,,
Harenkarspel,2012,6246,12,6271
Harenkarspel,2016,,,
Harenkarspel,2020,,,
Harenkarspel,2024,,,
Harlingen,2012,7371,5,7390
Harlingen,2016,7533,10,7561
Harlingen,2020,7798,120,7909
Harlingen,2024,8113,29,8124
Hattem,2012,5035,90,5128
Hattem,2016,5240,66,5270
Hattem,2020,5298,18,5262
Hattem,2024,5493,64,5558
Heemskerk,2012,17035,1,17012
Heemskerk,2016,17457,26,17513
Heemskerk,2020,17578,63,17607
Heemskerk,2024,17989,91,18025
Heemstede,2012,11751,48,11813
Heemstede,2016,12520,12,12511
Heemstede,2020,12628,194,12817
Heemstede,2024,12897,3,12841
Heerde,2012,7402,172,7580
Heerde,2016,7803,32,7810
Heerde,2020,7924,95,8017
Heerde,2024,8247,69,8334
Heerenveen,2012,19712,90,19709
Heerenveen,2016,23230,103,23250
Heerenveen,2020,23528,288,23767
Heerenveen,2024,24116,323,24447
Heerhugowaard,2012,21273,280,21493
Heerhugowaard,2016,22311,435,22743
Heerhugowaard,2020,23913,406,24439
Heerhugowaard,2024,,,
Heerlen,2012,45243,52,45326
Heerlen,2016,45227,13,45619
Heerlen,2020,45976,60,45982
Heerlen,2024,46697,123,46795
Heeze-Leende,2012,6341,22,6424
Heeze-Leende,2016,6628,29,6655
Heeze-Leende,2020,6861,62,6925
Heeze-Leende,2024,7243,75,7321
Heiloo,2012,9864,47,9907
Heiloo,2016,10233,118,10366
Heiloo,2020,10775,160,10939
Heiloo,2024,11225,72,11293
Den Helder,2012,26990,143,27138
Den Helder,2016,27939,110,27986
Den Helder,2020,28213,167,28390
Den Helder,2024,28734,110,28808
Hellendoorn,2012,14319,45,14359
Hellendoorn,2016,14526,59,14593
Hellendoorn,2020,14889,73,14959
Hellendoorn,2024,15158,44,15194
Hellevoetsluis,2012,17131,57,17241
Hellevoetsluis,2016,17305,56,17377
Hellevoetsluis,2020,17967,104,18067
Hellevoetsluis,2024,,,
Helmond,2012,38363,415,38662
Helmond,2016,39407,155,39533
Helmond,2020,40788,426,41222
Helmond,2024,43215,348,43549
Hendrik-Ido-Ambacht,2012,11585,3,11392
Hendrik-Ido-Ambacht,2016,11725,124,11842
Hendrik-Ido-Ambacht,2020,12314,30,12332
Hendrik-Ido-Ambacht,2024,12844,114,12963
Hengelo (O.),2012,37131,260,37284
Hengelo (O.),2016,37888,189,37908
Hengelo (O.),2020,38701,141,38903
Hengelo (O.),2024,39985,313,40426
s-Hertogenbosch,2012,63223,628,64413
s-Hertogenbosch,2016,69726,582,70255
s-Hertogenbosch,2020,72991,554,73424
s-Hertogenbosch,2024,76264,588,76845
Heumen,2012,6700,7,6713
Heumen,2016,6991,34,7064
Heumen,2020,7206,67,7274
Heumen,2024,7421,62,7497
Heusden,2012,17748,132,17874
Heusden,2016,18281,80,18352
Heusden,2020,19193,174,19357
Heusden,2024,19919,133,20055
Hillegom,2012,8978,126,9163
Hillegom,2016,9398,39,9419
Hillegom,2020,9849,5,9863
Hillegom,2024,10297,55,10329
Hilvarenbeek,2012,6115,66,6176
Hilvarenbeek,2016,6476,56,6493
Hilvarenbeek,2020,6724,143,6865
Hilvarenbeek,2024,7080,77,7171
Hilversum,2012,38937,202,39673
Hilversum,2016,41123,309,41638
Hilversum,2020,42676,242,42979
Hilversum,2024,43792,184,43894
Hoeksche Waard,2012,,,
Hoeksche Waard,2016,,,
Hoeksche Waard,2020,37821,379,38203
Hoeksche Waard,2024,39574,283,39954
Hof van Twente,2012,14643,38,14655
Hof van Twente,2016,14868,144,14969
Hof van Twente,2020,15211,44,15279
Hof van Twente,2024,15547,103,15711
Het Hogeland,2012,,,
Het Hogeland,2016,,,
Het Hogeland,2020,22743,130,22878
Het Hogeland,2024,22837,234,22964
Hollands Kroon,2012,20011,123,20184
Hollands Kroon,2016,20554,103,20616
Hollands Kroon,2020,20882,189,20988
Hollands Kroon,2024,21580,101,21697
Hoogeveen,2012,23279,68,23398
Hoogeveen,2016,24504,167,24684
Hoogeveen,2020,25236,217,25496
Hoogeveen,2024,25791,82,25911
Hoogezand-Sappemeer,2012,16379,18,15814
Hoogezand-Sappemeer,2016,15971,28,16016
Hoogezand-Sappemeer,2020,,,
Hoogezand-Sappemeer,2024,,,
Hoorn,2012,30947,136,31354
Hoorn,2016,32423,147,32640
Hoorn,2020,33086,523,33656
Hoorn,2024,34609,388,34994
Horst aan de Maas,2012,16594,133,16797
Horst aan de Maas,2016,17431,145,17480
Horst aan de Maas,2020,17839,107,17937
Horst aan de Maas,2024,18492,338,18910
Houten,2012,18971,157,19155
Houten,2016,19542,210,19808
Houten,2020,20417,119,20681
Houten,2024,21335,217,21551
Huizen,2012,18242,90,18316
Huizen,2016,18592,67,18718
Huizen,2020,18924,57,19018
Huizen,2024,19156,34,19209
Hulst,2012,13091,34,13046
Hulst,2016,13272,87,13323
Hulst,2020,13587,91,13618
Hulst,2024,13684,112,13719
IJsselstein,2012,13726,135,13857
IJsselstein,2016,14169,145,14319
IJsselstein,2020,14407,17,14444
IJsselstein,2024,14544,43,14585
Kaag en Braassem,2012,10520,83,10647
Kaag en Braassem,2016,11056,156,11204
Kaag en Braassem,2020,11726,157,11895
Kaag en Braassem,2024,12721,78,12787
Kampen,2012,20845,16,20887
Kampen,2016,21343,235,21535
Kampen,2020,22517,210,22785
Kampen,2024,23530,191,23734
Kapelle,2012,5005,29,5055
Kapelle,2016,5223,51,5275
Kapelle,2020,5403,54,5459
Kapelle,2024,5523,22,5546
Katwijk,2012,24307,123,24614
Katwijk,2016,25814,430,26265
Katwijk,2020,26869,275,27165
Katwijk,2024,27594,223,27845
Kerkrade,2012,21338,77,21387
Kerkrade,2016,23967,12,23883
Kerkrade,2020,23771,72,23937
Kerkrade,2024,23981,138,24035
Koggenland,2012,8847,122,8963
Koggenland,2016,9220,28,9237
Koggenland,2020,9473,159,9608
Koggenland,2024,9869,120,9907
Kollumerland en Nieuwkruisland,2012,5413,23,5442
Kollumerland en Nieuwkruisland,2016,5426,65,5489
Kollumerland en Nieuwkruisland,2020,,,
Kollumerland en Nieuwkruisland,2024,,,
Korendijk,2012,4355,2,4382
Korendijk,2016,4457,100,4571
Korendijk,2020,,,
Korendijk,2024,,,
Krimpen aan den IJssel,2012,12109,340,12461
Krimpen aan den IJssel,2016,12318,13,12333
Krimpen aan den IJssel,2020,12636,56,12648
Krimpen aan den IJssel,2024,12616,91,12730
Krimpenerwaard,2012,,,
Krimpenerwaard,2016,23331,299,23541
Krimpenerwaard,2020,23933,87,23944
Krimpenerwaard,2024,24529,83,24661
Laarbeek,2012,8755,247,9125
Laarbeek,2016,9237,9,9231
Laarbeek,2020,9531,214,9793
Laarbeek,2024,9978,31,10038
Land van Cuijk,2012,,,
Land van Cuijk,2016,,,
Land van Cuijk,2020,,,
Land van Cuijk,2024,40186,431,40717
Landerd,2012,5698,13,5793
Landerd,2016,6004,30,6074
Landerd,2020,6403,51,6461
Landerd,2024,,,
Landgraaf,2012,17833,65,17899
Landgraaf,2016,17923,121,18038
Landgraaf,2020,18142,11,18152
